Label,Text
Tireoidite De Hashimoto,"Manifesta-se com palpitações, síncope, falta de ar ao esforço, edema de membros inferiores, tontura, dor torácica."
Intoxicação Por Álcool,"Manifesta-se com edema de membros inferiores, palpitações, síncope, dor torácica."
Toxicidade Por Drogas,"Manifesta-se com confusão mental, perda de sensibilidade, visão turva, tontura, dor de cabeça."
Exposição Ocupacional,"Manifesta-se com poliúria, oligúria, urina turva, dor lombar."
Lesão Por Esforço Repetitivo,"Manifesta-se com dor abdominal, perda de apetite, náusea, diarreia, arrotos, fezes alteradas."
Fratura Do Fêmur,"Acometido por arrotos, perda de apetite, dor abdominal, vômito, diarreia."
Entorse De Tornozelo,"Acometido por secreção, eritema, prurido."
Lesão Ligamentar Do Joelho,"Inclui arrotos, dor abdominal, perda de apetite."
Luxação Do Ombro,"Acometido por oligúria, urina turva, dor lombar, hematúria."
Periodontite,"Sinais e sintomas: urina turva, oligúria, hematúria, dor lombar, poliúria."
Cárie Dentária,"Sinais e sintomas: dor pélvica, infertilidade, sangramento vaginal, secreção vaginal."
Abscesso Dentário,"Acometido por mal-estar geral, calafrios, linfadenopatia, intensa fadiga, suor noturno, febre."
Glaucoma,"Acometido por febre, expectoração, respiração rápida, chiado no peito, tosse, sibilos."
Catarata,"Manifesta-se com sangramento fácil, equimoses, fadiga, palpitações, palidez."
Infecção Neonatal,"Acometido por ansiedade, perda de interesse, insônia."
Icterícia Neonatal,"Inclui azia, dor abdominal, perda de apetite, diarreia, vômito."
Malformação Congênita,"Caracteriza-se por secreção, úlceras cutâneas, lesões na pele."
Fibrose Cística,"Caracteriza-se por diarreia, perda de apetite, náusea, azia, vômito."
Doença De Crohn,"Sinais e sintomas: insônia, perda de interesse, tristeza persistente."
Colite Ulcerativa,"Caracteriza-se por náusea, vômito, arrotos, diarreia."
Hemorroidas,"Acometido por mal-estar geral, suor noturno, linfadenopatia, febre."
Proctite,"Caracteriza-se por menstruação irregular, sangramento vaginal, dor pélvica, secreção vaginal, infertilidade."
Síndrome Do Intestino Irritável,"Manifesta-se com dor lombar, hematúria, oligúria, alteração no jato urinário, poliúria."
Fibromialgia,"Caracteriza-se por infertilidade, secreção vaginal, menstruação irregular, dor pélvica, sangramento vaginal."
Síndrome De Fadiga Crônica,"Sinais e sintomas: visão turva, confusão mental, crise convulsiva."
Doença De Lyme,"Manifesta-se com fezes alteradas, perda de apetite, vômito."
Herpes Zoster,"Inclui eritema, descamação, lesões na pele, prurido."
Varicela,"Acometido por secreção, prurido, úlceras cutâneas, descamação."
Mononucleose,"Manifesta-se com falta de ar, dor torácica, expectoração, tosse, sibilos, respiração rápida."
Síndrome De Down,"Manifesta-se com confusão mental, crise convulsiva, tontura."
Hemofilia,"Sinais e sintomas: equimoses, palidez, palpitações, fadiga."
Pneumonia (aguda),"Inclui sibilos, falta de ar, chiado no peito."
Pneumonia (crônica),"Sinais e sintomas: dor torácica, expectoração, sibilos."
Pneumonia (recorrente),"Sinais e sintomas: expectoração, chiado no peito, sibilos."
Pneumonia (complicada),"Caracteriza-se por dor torácica, febre, chiado no peito."
Pneumonia (associada a infecção bacteriana),"Sinais e sintomas: tosse, falta de ar, chiado no peito, expectoração."
Pneumonia (associada a infecção viral),"Inclui chiado no peito, expectoração, tosse, respiração rápida."
Pneumonia (pós-operatória),"Inclui expectoração, tosse, chiado no peito, falta de ar."
Pneumonia (idiopática),"Sinais e sintomas: chiado no peito, expectoração, tosse, dor torácica, febre, respiração rápida."
Pneumonia (grave),"Sinais e sintomas: respiração rápida, febre, chiado no peito."
Pneumonia (leve),"Manifesta-se com respiração rápida, expectoração, tosse, sibilos, dor torácica."
Pneumonia (moderada),"Inclui respiração rápida, expectoração, dor torácica."
Pneumonia (focal),"Manifesta-se com falta de ar, tosse, chiado no peito, respiração rápida, febre."
Pneumonia (sistêmica),"Inclui respiração rápida, febre, sibilos, dor torácica, tosse."
Pneumonia (exacerbada),"Acometido por sibilos, dor torácica, chiado no peito, respiração rápida."
Pneumonia (controlada),"Acometido por sibilos, expectoração, tosse, falta de ar, dor torácica, chiado no peito."
Pneumonia (mal controlada),"Inclui respiração rápida, tosse, sibilos, expectoração."
Pneumonia (associada a imunossupressão),"Sinais e sintomas: expectoração, sibilos, chiado no peito."
Pneumonia (associada a gestação),"Acometido por chiado no peito, dor torácica, falta de ar, sibilos, tosse."
Pneumonia (sem complicações),"Caracteriza-se por expectoração, tosse, febre, respiração rápida, chiado no peito."
Pneumonia (com complicações),"Inclui chiado no peito, falta de ar, febre, sibilos."
Bronquite (aguda),"Sinais e sintomas: sibilos, respiração rápida, febre, expectoração."
Bronquite (crônica),"Acometido por febre, tosse, chiado no peito."
Bronquite (recorrente),"Inclui expectoração, tosse, chiado no peito, respiração rápida, dor torácica."
Bronquite (complicada),"Caracteriza-se por chiado no peito, expectoração, febre."
Bronquite (associada a infecção bacteriana),"Acometido por respiração rápida, falta de ar, chiado no peito, sibilos, febre, dor torácica."
Bronquite (associada a infecção viral),"Sinais e sintomas: tosse, chiado no peito, sibilos."
Bronquite (pós-operatória),"Manifesta-se com febre, dor torácica, expectoração."
Bronquite (idiopática),"Manifesta-se com sibilos, falta de ar, chiado no peito, febre, tosse, expectoração."
Bronquite (grave),"Caracteriza-se por respiração rápida, febre, expectoração, falta de ar, tosse."
Bronquite (leve),"Caracteriza-se por tosse, chiado no peito, falta de ar."
Bronquite (moderada),"Manifesta-se com febre, falta de ar, tosse, expectoração, dor torácica."
Bronquite (focal),"Sinais e sintomas: sibilos, febre, expectoração, chiado no peito."
Bronquite (sistêmica),"Inclui chiado no peito, dor torácica, expectoração, tosse, sibilos."
Bronquite (exacerbada),"Sinais e sintomas: expectoração, febre, dor torácica."
Bronquite (controlada),"Sinais e sintomas: febre, tosse, dor torácica, sibilos, falta de ar, respiração rápida."
Bronquite (mal controlada),"Sinais e sintomas: chiado no peito, dor torácica, tosse, respiração rápida, sibilos."
Bronquite (associada a imunossupressão),"Acometido por sibilos, respiração rápida, falta de ar."
Bronquite (associada a gestação),"Acometido por falta de ar, tosse, febre, sibilos, chiado no peito."
Bronquite (sem complicações),"Caracteriza-se por dor torácica, tosse, chiado no peito, falta de ar."
Bronquite (com complicações),"Manifesta-se com chiado no peito, respiração rápida, expectoração, dor torácica."
Asma (aguda),"Inclui expectoração, sibilos, respiração rápida, falta de ar, chiado no peito, dor torácica."
Asma (crônica),"Sinais e sintomas: febre, sibilos, falta de ar, respiração rápida, tosse, chiado no peito."
Asma (recorrente),"Acometido por respiração rápida, dor torácica, tosse, expectoração, falta de ar."
Asma (complicada),"Sinais e sintomas: sibilos, dor torácica, febre."
Asma (associada a infecção bacteriana),"Manifesta-se com dor torácica, falta de ar, febre, respiração rápida, chiado no peito, tosse."
Asma (associada a infecção viral),"Caracteriza-se por chiado no peito, febre, expectoração, respiração rápida, tosse."
Asma (pós-operatória),"Acometido por falta de ar, respiração rápida, sibilos, expectoração, dor torácica, chiado no peito."
Asma (idiopática),"Inclui expectoração, tosse, falta de ar."
Asma (grave),"Inclui febre, falta de ar, expectoração, respiração rápida, chiado no peito, dor torácica."
Asma (leve),"Caracteriza-se por expectoração, falta de ar, respiração rápida, dor torácica."
Asma (moderada),"Acometido por febre, respiração rápida, dor torácica."
Asma (focal),"Inclui sibilos, febre, falta de ar."
Asma (sistêmica),"Caracteriza-se por falta de ar, chiado no peito, respiração rápida, dor torácica, sibilos."
Asma (exacerbada),"Sinais e sintomas: chiado no peito, falta de ar, tosse, febre."
Asma (controlada),"Caracteriza-se por expectoração, sibilos, febre."
Asma (mal controlada),"Manifesta-se com falta de ar, chiado no peito, sibilos, febre, expectoração, respiração rápida."
Asma (associada a imunossupressão),"Acometido por expectoração, respiração rápida, sibilos, chiado no peito, dor torácica, falta de ar."
Asma (associada a gestação),"Acometido por dor torácica, falta de ar, respiração rápida, chiado no peito."
Asma (sem complicações),"Caracteriza-se por respiração rápida, sibilos, falta de ar, dor torácica, febre, tosse."
Asma (com complicações),"Acometido por febre, tosse, expectoração, dor torácica."
Sinusite (aguda),"Caracteriza-se por chiado no peito, falta de ar, tosse."
Sinusite (crônica),"Acometido por falta de ar, sibilos, dor torácica, tosse, chiado no peito, expectoração."
Sinusite (recorrente),"Inclui tosse, dor torácica, febre, falta de ar, chiado no peito, sibilos."
Sinusite (complicada),"Caracteriza-se por tosse, falta de ar, respiração rápida, sibilos."
Sinusite (associada a infecção bacteriana),"Caracteriza-se por febre, sibilos, dor torácica."
Sinusite (associada a infecção viral),"Sinais e sintomas: tosse, respiração rápida, sibilos, falta de ar, chiado no peito, expectoração."
Sinusite (pós-operatória),"Inclui chiado no peito, sibilos, falta de ar, respiração rápida, expectoração, tosse."
Sinusite (idiopática),"Sinais e sintomas: respiração rápida, tosse, sibilos, dor torácica, expectoração, falta de ar."
Sinusite (grave),"Sinais e sintomas: falta de ar, respiração rápida, dor torácica, tosse."
Sinusite (leve),"Sinais e sintomas: sibilos, chiado no peito, expectoração, tosse."
Sinusite (moderada),"Inclui tosse, dor torácica, sibilos."
Sinusite (focal),"Acometido por febre, expectoração, tosse, falta de ar, sibilos."
Sinusite (sistêmica),"Acometido por expectoração, chiado no peito, tosse."
Sinusite (exacerbada),"Caracteriza-se por falta de ar, sibilos, expectoração, dor torácica, febre."
Sinusite (controlada),"Caracteriza-se por respiração rápida, tosse, falta de ar."
Sinusite (mal controlada),"Manifesta-se com tosse, falta de ar, sibilos, febre."
Sinusite (associada a imunossupressão),"Inclui febre, tosse, expectoração, chiado no peito, falta de ar, respiração rápida."
Sinusite (associada a gestação),"Manifesta-se com chiado no peito, sibilos, falta de ar, dor torácica, febre."
Sinusite (sem complicações),"Sinais e sintomas: falta de ar, dor torácica, expectoração, sibilos, respiração rápida."
Sinusite (com complicações),"Sinais e sintomas: sibilos, tosse, dor torácica."
Otite (aguda),"Acometido por expectoração, tosse, sibilos, falta de ar, febre."
Otite (crônica),"Acometido por falta de ar, expectoração, dor torácica, respiração rápida, sibilos, tosse."
Otite (recorrente),"Sinais e sintomas: febre, expectoração, tosse, sibilos, dor torácica, chiado no peito."
Otite (complicada),"Manifesta-se com falta de ar, sibilos, febre."
Otite (associada a infecção bacteriana),"Acometido por chiado no peito, respiração rápida, expectoração, falta de ar."
Otite (associada a infecção viral),"Acometido por falta de ar, expectoração, dor torácica."
Otite (pós-operatória),"Acometido por chiado no peito, febre, respiração rápida, sibilos, falta de ar, expectoração."
Otite (idiopática),"Manifesta-se com chiado no peito, tosse, expectoração, respiração rápida."
Otite (grave),"Acometido por chiado no peito, falta de ar, sibilos, dor torácica, respiração rápida, expectoração."
Otite (leve),"Caracteriza-se por chiado no peito, respiração rápida, tosse, dor torácica."
Otite (moderada),"Inclui expectoração, respiração rápida, falta de ar."
Otite (focal),"Sinais e sintomas: febre, sibilos, chiado no peito, expectoração, falta de ar."
Otite (sistêmica),"Caracteriza-se por dor torácica, sibilos, chiado no peito."
Otite (exacerbada),"Acometido por expectoração, febre, sibilos."
Otite (controlada),"Manifesta-se com chiado no peito, tosse, falta de ar, dor torácica."
Otite (mal controlada),"Inclui sibilos, respiração rápida, febre, tosse, chiado no peito, dor torácica."
Otite (associada a imunossupressão),"Manifesta-se com expectoração, chiado no peito, febre, respiração rápida, sibilos, tosse."
Otite (associada a gestação),"Acometido por chiado no peito, febre, respiração rápida."
Otite (sem complicações),"Sinais e sintomas: expectoração, respiração rápida, chiado no peito, falta de ar."
Otite (com complicações),"Sinais e sintomas: febre, chiado no peito, expectoração."
Faringite (aguda),"Sinais e sintomas: febre, respiração rápida, sibilos, tosse."
Faringite (crônica),"Acometido por falta de ar, expectoração, febre, sibilos."
Faringite (recorrente),"Sinais e sintomas: tosse, respiração rápida, sibilos."
Faringite (complicada),"Manifesta-se com sibilos, febre, expectoração, tosse."
Faringite (associada a infecção bacteriana),"Manifesta-se com febre, dor torácica, chiado no peito, sibilos, falta de ar."
Faringite (associada a infecção viral),"Manifesta-se com falta de ar, dor torácica, sibilos."
Faringite (pós-operatória),"Acometido por expectoração, febre, chiado no peito, falta de ar."
Faringite (idiopática),"Caracteriza-se por falta de ar, sibilos, respiração rápida, febre, tosse, chiado no peito."
Faringite (grave),"Caracteriza-se por febre, dor torácica, chiado no peito."
Faringite (leve),"Manifesta-se com febre, dor torácica, respiração rápida."
Faringite (moderada),"Caracteriza-se por expectoração, febre, respiração rápida, falta de ar."
Faringite (focal),"Manifesta-se com respiração rápida, dor torácica, falta de ar, sibilos, tosse, febre."
Faringite (sistêmica),"Acometido por dor torácica, chiado no peito, febre, falta de ar, tosse, respiração rápida."
Faringite (exacerbada),"Acometido por febre, respiração rápida, tosse, expectoração, dor torácica, sibilos."
Faringite (controlada),"Sinais e sintomas: expectoração, tosse, dor torácica, sibilos, chiado no peito, respiração rápida."
Faringite (mal controlada),"Sinais e sintomas: sibilos, febre, dor torácica."
Faringite (associada a imunossupressão),"Acometido por falta de ar, tosse, dor torácica."
Faringite (associada a gestação),"Sinais e sintomas: falta de ar, chiado no peito, febre, expectoração, dor torácica."
Faringite (sem complicações),"Acometido por tosse, chiado no peito, expectoração."
Faringite (com complicações),"Acometido por falta de ar, febre, sibilos, chiado no peito, respiração rápida, dor torácica."
Laringite (aguda),"Sinais e sintomas: febre, respiração rápida, falta de ar, sibilos, dor torácica, expectoração."
Laringite (crônica),"Acometido por tosse, falta de ar, sibilos, respiração rápida, dor torácica, expectoração."
Laringite (recorrente),"Inclui febre, expectoração, respiração rápida, sibilos, chiado no peito, falta de ar."
Laringite (complicada),"Caracteriza-se por falta de ar, febre, expectoração, sibilos, dor torácica, tosse."
Laringite (associada a infecção bacteriana),"Acometido por dor torácica, tosse, respiração rápida."
Laringite (associada a infecção viral),"Sinais e sintomas: sibilos, expectoração, chiado no peito, dor torácica."
Laringite (pós-operatória),"Acometido por tosse, expectoração, chiado no peito, febre, sibilos, falta de ar."
Laringite (idiopática),"Acometido por expectoração, chiado no peito, dor torácica, febre, falta de ar, respiração rápida."
Laringite (grave),"Acometido por dor torácica, chiado no peito, falta de ar, febre, expectoração, tosse."
Laringite (leve),"Sinais e sintomas: respiração rápida, falta de ar, dor torácica, sibilos."
Laringite (moderada),"Manifesta-se com chiado no peito, febre, expectoração, sibilos, dor torácica."
Laringite (focal),"Acometido por febre, tosse, falta de ar, sibilos."
Laringite (sistêmica),"Sinais e sintomas: respiração rápida, chiado no peito, sibilos, febre, falta de ar."
Laringite (exacerbada),"Caracteriza-se por chiado no peito, febre, expectoração, sibilos."
Laringite (controlada),"Inclui dor torácica, expectoração, chiado no peito."
Laringite (mal controlada),"Sinais e sintomas: expectoração, respiração rápida, dor torácica, tosse, chiado no peito, febre."
Laringite (associada a imunossupressão),"Acometido por respiração rápida, dor torácica, expectoração, chiado no peito, falta de ar, febre."
Laringite (associada a gestação),"Inclui dor torácica, febre, expectoração."
Laringite (sem complicações),"Acometido por falta de ar, tosse, dor torácica, expectoração, chiado no peito, respiração rápida."
Laringite (com complicações),"Inclui febre, respiração rápida, sibilos."
Gripe (aguda),"Caracteriza-se por respiração rápida, expectoração, febre, sibilos, dor torácica."
Gripe (crônica),"Manifesta-se com febre, chiado no peito, tosse, falta de ar, sibilos, respiração rápida."
Gripe (recorrente),"Sinais e sintomas: tosse, expectoração, falta de ar, sibilos."
Gripe (complicada),"Acometido por sibilos, respiração rápida, dor torácica, febre."
Gripe (associada a infecção bacteriana),"Inclui chiado no peito, respiração rápida, sibilos, dor torácica, falta de ar, tosse."
Gripe (associada a infecção viral),"Sinais e sintomas: dor torácica, respiração rápida, falta de ar, expectoração, febre, sibilos."
Gripe (pós-operatória),"Manifesta-se com expectoração, respiração rápida, chiado no peito, tosse, febre."
Gripe (idiopática),"Inclui sibilos, expectoração, febre, falta de ar."
Gripe (grave),"Manifesta-se com dor torácica, chiado no peito, sibilos, respiração rápida, expectoração."
Gripe (leve),"Caracteriza-se por sibilos, expectoração, febre, dor torácica, chiado no peito."
Gripe (moderada),"Acometido por respiração rápida, febre, expectoração."
Gripe (focal),"Sinais e sintomas: tosse, sibilos, febre."
Gripe (sistêmica),"Inclui falta de ar, respiração rápida, febre, dor torácica."
Gripe (exacerbada),"Sinais e sintomas: chiado no peito, febre, dor torácica, tosse, expectoração, sibilos."
Gripe (controlada),"Acometido por tosse, febre, dor torácica, falta de ar, respiração rápida, chiado no peito."
Gripe (mal controlada),"Inclui chiado no peito, tosse, dor torácica, falta de ar."
Gripe (associada a imunossupressão),"Acometido por chiado no peito, dor torácica, tosse."
Gripe (associada a gestação),"Acometido por falta de ar, sibilos, expectoração, dor torácica."
Gripe (sem complicações),"Acometido por sibilos, dor torácica, tosse, febre, chiado no peito, falta de ar."
Gripe (com complicações),"Inclui sibilos, febre, chiado no peito, expectoração."
Covid-19 (aguda),"Sinais e sintomas: respiração rápida, expectoração, sibilos, febre, dor torácica."
Covid-19 (crônica),"Acometido por dor torácica, respiração rápida, falta de ar, chiado no peito."
Covid-19 (recorrente),"Manifesta-se com tosse, sibilos, expectoração."
Covid-19 (complicada),"Inclui dor torácica, chiado no peito, tosse."
Covid-19 (associada a infecção bacteriana),"Inclui respiração rápida, febre, expectoração."
Covid-19 (associada a infecção viral),"Sinais e sintomas: sibilos, dor torácica, chiado no peito."
Covid-19 (pós-operatória),"Caracteriza-se por falta de ar, febre, respiração rápida."
Covid-19 (idiopática),"Manifesta-se com expectoração, chiado no peito, falta de ar, sibilos, febre."
Covid-19 (grave),"Sinais e sintomas: tosse, febre, sibilos, chiado no peito, dor torácica."
Covid-19 (leve),"Manifesta-se com expectoração, respiração rápida, sibilos."
Covid-19 (moderada),"Caracteriza-se por sibilos, dor torácica, chiado no peito, falta de ar, respiração rápida."
Covid-19 (focal),"Inclui dor torácica, sibilos, chiado no peito, falta de ar, expectoração, respiração rápida."
Covid-19 (sistêmica),"Acometido por sibilos, febre, respiração rápida, chiado no peito, dor torácica, tosse."
Covid-19 (exacerbada),"Inclui chiado no peito, dor torácica, falta de ar, tosse, respiração rápida."
Covid-19 (controlada),"Caracteriza-se por tosse, sibilos, respiração rápida, chiado no peito, febre, dor torácica."
Covid-19 (mal controlada),"Caracteriza-se por tosse, chiado no peito, sibilos, respiração rápida, dor torácica."
Covid-19 (associada a imunossupressão),"Acometido por sibilos, chiado no peito, febre, falta de ar."
Covid-19 (associada a gestação),"Inclui expectoração, falta de ar, sibilos, respiração rápida, dor torácica, chiado no peito."
Covid-19 (sem complicações),"Sinais e sintomas: dor torácica, falta de ar, sibilos, respiração rápida, tosse."
Covid-19 (com complicações),"Sinais e sintomas: tosse, falta de ar, febre, expectoração."
Resfriado Comum (aguda),"Sinais e sintomas: vômito, náusea, fezes alteradas, arrotos, diarreia."
Resfriado Comum (crônica),"Acometido por perda de apetite, vômito, diarreia, fezes alteradas, azia, dor abdominal."
Resfriado Comum (recorrente),"Sinais e sintomas: fezes alteradas, náusea, azia, dor abdominal."
Resfriado Comum (complicada),"Manifesta-se com dor abdominal, arrotos, fezes alteradas."
